서울특별시 강동구 길동 413-14,서울특별시 강동구 진황도로43길 3 (길동),명월,212135.8335,448176.3232,강동구,길동,127.1380965,37.53575871,길동
서울특별시 관악구 신림동 1655,서울특별시 관악구 시흥대로 570 지하1층 (신림동),쿨,191303.7929,442376.389,관악구,신림동,126.902466,37.48353804,조원동
서울특별시 은평구 불광동 281-100 (지하1층),서울특별시 은평구 통일로 724 (불광동(지하1층)),미래노래바,193784.757,456445.0745,은평구,불광동,126.9303964,37.6103158,불광1동
서울특별시 강남구 삼성동 143-26 에이스,서울특별시 강남구 테헤란로77길 11-3 에이스 지상 8910층 (삼성동),짱가,204721.6818,444976.6163,강남구,삼성동,127.0541904,37.50699583,삼성2동
서울특별시 강서구 화곡동 1117-13 (지하 1층),서울특별시 강서구 화곡로 316 지하 1층 (화곡동 6동),썸씽,186691.9308,449987.4354,강서구,화곡동,126.8501842,37.55205781,화곡6동
서울특별시 강동구 길동 414-1 석탄공회관,서울특별시 강동구 천호대로175길 58 석탄공회관 (길동),룰루,212102.5418,448338.9981,강동구,길동,127.1377222,37.53722399,길동
서울특별시 관악구 신림동 1433-32,서울특별시 관악구 남부순환로 1599-4 지하1층 (신림동),(구)올리브,193600.1373,442484.5638,관악구,신림동,126.9284287,37.4845325,신림동
서울특별시 강남구 역삼동 648-3,서울특별시 강남구 강남대로94길 54 지하1층 (역삼동),골드문,202731.8841,444237.1288,강남구,역삼동,127.0316832,37.50034099,역삼1동
서울특별시 동대문구 전농동 295-7 지하1층,서울특별시 동대문구 사가정로 111 지하1층 (전농동),에스,204957.734,452803.9615,동대문구,전농동,127.0569122,37.5775184,전농1동
서울특별시 강남구 삼성동 144-21,서울특별시 강남구 테헤란로77길 6 (삼성동),노라조 노래바Q,204786.1826,444965.8725,강남구,삼성동,127.0549198,37.50689873,삼성2동
서울특별시 동대문구 장안동 464-1,서울특별시 동대문구 장한로 6 (장안동),더뱅크,205711.2633,451065.3216,동대문구,장안동,127.0654295,37.56185,장안1동
서울특별시 금천구 시흥동 889-13 지하1층 (시흥대로 475),서울특별시 금천구 시흥대로 212 (시흥동지하1층 (시흥대로 475)),준노래,191230.1831,438962.5606,금천구,시흥동,126.9016747,37.45277841,시흥1동
서울특별시 강동구 길동 458-3,서울특별시 강동구 진황도로 110 (길동),비너스,212131.7563,448108.63,강동구,길동,127.1380493,37.53514888,길동
서울특별시 강남구 논현동 237-5번지,서울특별시 강남구 언주로 605 (논현동),메이드,203219.1661,445239.4052,강남구,논현동,127.0371981,37.50936997,논현2동
서울특별시 송파구 석촌동 158번지 호텔 레이크 지하2층,서울특별시 송파구 석촌호수로 216 호텔 레이크 지하2층 (석촌동),나인,208851.6399,444965.4233,송파구,석촌동,127.1009,37.50686579,석촌동
