세븐일레븐 은천점,관악구,37.48532136,126.9378633,02-871-1785,관악경찰서,은천동,서울 관악구 봉천로 335
씨스페이스 구로공단점,관악구,37.48340555,126.9027248,02-856-4280,관악경찰서,조원동,서울 관악구 조원로 6
GS25,강서구,37.53282366,126.838812,,강서경찰서,화곡1동,서울 강서구 가로공원로76길 100
세븐일레븐 신사시장점,관악구,37.4840205,126.9163085,02-830-6586,관악경찰서,신사동,서울 관악구 남부순환로153길 35
CU 개포사랑점,강남구,37.48311645,127.060656,02-573-1039,수서경찰서,개포2동,서울 강남구 선릉로10길 4
세븐일레븐 신림점 B,관악구,37.46990093,126.9335323,02-878-0845,관악경찰서,대학동,서울 관악구 호암로24길 6
세븐일레븐 길동제일점,강동구,37.53540255,127.1447004,02-485-7637,길동지구대,길동,서울 강동구 천호대로 1203
세븐일레븐 길동4호점,강동구,37.537263,127.1460832,02-484-8315,길동지구대,길동,서울 강동구 명일로 210
미니스톱 명일스타점,강동구,37.5517026,127.142414,02-427-3120,명일지구대,명일1동,서울 강동구 고덕로38길 64
세븐일레븐 명일삼익점,강동구,37.54450894,127.1454636,02-426-7814,명일지구대,명일1동,서울 강동구 양재대로128길 47
세븐일레븐 명일점,강동구,37.5533158,127.1439183,02-441-9623,명일지구대,명일1동,서울 강동구 양재대로 1655
세븐일레븐 강동고덕점,강동구,37.5530312,127.1554565,02-426-1746,명일지구대,명일2동,서울 강동구 동남로75길 13-25
GS25 고덕,강동구,37.56001982,127.1545091,02-429-4153,고덕지구대,고덕1동,서울 강동구 동남로81길 44
세븐일레븐 고덕광문점,강동구,37.5606516,127.1561175,02-442-7172,고덕지구대,고덕1동,서울 강동구 동남로81길 10
씨스페이스 강동상일점,강동구,37.5464168,127.1713147,02-426-4935,상일지구대,상일1동,서울 강동구 천호대로 1469
CU 강일5단지점,강동구,37.56851355,127.1781387,02-428-1186,강일지구대,강일동,서울 강동구 아리수로97길 20
GS25 성내한빛,강동구,37.53468848,127.1328468,02-488-3969,성내지구대,성내2동,서울 강동구 천호대로168길 25
미니스톱 길동현대점,강동구,37.53694861,127.1476683,,길동지구대,길동,서울 강동구 명일로 200-34
GS25 둔촌역,강동구,37.52830949,127.1359081,02-476-7470,성내지구대,성내3동,서울 강동구 양재대로 1367
세븐일레븐 강동오륜점,강동구,37.52320993,127.132659,02-470-1544,성내지구대,성내3동,서울 강동구 양재대로81길 30
CU 강풀만화거리점,강동구,37.53720715,127.1267613,02-478-4282,성내지구대,성내2동,서울 강동구 천호대로 1034
GS25 성내삼성점,강동구,37.531525,127.1272061,02-475-0441,성내지구대,성내2동,서울 강동구 풍성로 135
GS25 천호타운,강동구,37.54400182,127.1385731,02-427-4222,천호지구대,천호1동,서울 강동구 천중로35길 66
